Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,26.72,19.0,#,#,#,#,#,#,#,#,#,-,#,#,#,#,#,#,#,#,#,-,#,-,#,-
00BK,Westminster,14.8,11.0,16.7,8.9,18.8,12.0,19.6,13.0,18.4,12.0,18.7,10.0,20.17,11.0,21.63,11.0,24.67,11.0,21.87,11.0,22.56,7.4,18.94,10.0,19.73,9.3,20.55,6.9,20.06,7.7,22.68,8.8,22.04,12.0,21.33,9.3,20.31,11.0,21.76,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,8.9,1.7,9.2,1.9,9.5,1.9,10.0,1.6,10.1,1.9,10.4,1.7,10.88,2.1,11.34,1.7,11.26,1.9,11.25,1.6,11.58,1.7,12.00,1.5,12.18,1.6,12.36,1.6,12.47,1.7,12.96,1.5,13.14,1.7,13.29,1.6,13.69,1.9,14.01,1.6
B,North West,9.7,1.2,9.9,1.2,10.3,1.1,10.4,1.2,10.8,1.1,11.1,1.2,11.50,1.2,11.77,1.0,11.72,1.1,11.40,1.2,11.75,1.1,12.04,1.2,11.97,1.1,12.16,1.0,12.62,1.0,12.77,1.0,13.21,1.0,13.90,1.1,14.02,1.4,14.37,1.1
D,Yorkshire and The Humber,9.1,1.2,9.6,1.2,9.9,1.3,10.1,1.0,10.4,1.2,10.8,1.3,11.09,1.4,11.46,1.4,11.51,1.2,11.45,1.2,11.56,1.3,11.89,1.1,11.85,1.2,12.00,1.2,12.46,1.3,12.50,1.3,12.87,1.1,13.56,1.2,13.54,1.5,14.31,1.3
E,East Midlands,9.5,1.3,9.8,1.4,10.0,1.2,10.4,1.2,10.8,1.3,10.9,1.3,11.23,1.5,11.69,1.4,11.75,1.3,11.78,1.3,11.86,1.2,12.14,1.3,12.09,1.3,12.30,1.2,12.70,1.2,13.03,1.1,13.23,1.2,13.73,1.0,14.31,1.5,14.45,1.0
F,West Midlands,9.6,1.1,9.7,1.2,10.1,1.1,10.4,1.3,10.7,1.1,10.9,1.2,11.32,1.4,11.73,1.2,11.77,1.2,11.63,1.3,11.70,1.2,12.25,1.2,12.01,1.0,12.32,1.3,12.66,1.3,12.93,1.0,13.19,1.1,13.70,1.2,14.00,1.3,14.50,1.3
G,East,10.8,1.4,11.1,1.4,11.5,1.3,11.6,1.3,12.0,1.3,12.3,1.4,12.77,1.4,13.28,1.3,13.25,1.2,13.38,1.2,13.37,1.2,13.85,1.3,13.59,1.2,13.71,1.3,14.33,1.3,14.57,1.1,14.76,1.3,15.39,1.0,15.34,1.4,15.85,1.3
H,London,12.4,1.1,13.0,1.3,13.0,1.2,13.6,1.0,13.9,1.1,14.4,1.1,15.06,1.1,15.44,1.0,15.36,1.0,15.52,0.9,15.42,1.0,15.60,1.1,15.43,0.9,15.61,1.0,15.99,1.1,16.60,0.9,16.90,1.1,17.75,1.1,18.33,1.4,18.67,1.3
J,South East,11.5,1.0,12.1,0.9,12.2,1.0,12.4,0.9,12.8,0.9,13.3,1.0,13.82,1.0,14.08,0.8,14.37,0.8,14.59,0.9,14.54,0.9,14.61,0.9,14.75,0.9,14.88,0.8,15.14,0.8,15.39,0.8,15.81,1.0,16.49,0.8,16.35,1.2,17.19,1.0
K,South West,9.6,1.4,10.0,1.4,10.2,1.5,10.5,1.3,10.9,1.3,11.1,1.4,11.66,1.4,11.97,1.3,11.87,1.2,11.92,1.2,11.98,1.1,12.35,1.3,12.41,1.2,12.50,1.2,12.91,1.2,13.44,1.1,13.54,1.1,14.04,1.0,14.19,1.3,14.67,1.1
924,Wales,9.1,1.8,9.3,1.8,9.8,2.1,10.0,1.5,10.4,1.9,10.5,2.3,11.07,2.0,11.48,1.9,11.46,1.4,11.38,1.5,11.44,2.0,11.99,1.8,11.98,1.7,11.98,1.7,12.46,1.7,12.50,1.6,12.74,1.5,13.51,1.6,13.76,2.0,14.01,1.8
923,Scotland,9.7,1.3,9.8,1.3,10.0,1.4,10.3,1.3,10.7,1.3,11.3,1.4,11.65,1.4,12.01,1.1,12.14,1.1,12.21,1.0,12.46,1.1,12.84,1.0,12.94,1.1,13.28,1.0,13.40,1.0,13.72,1.0,13.97,0.9,14.70,1.1,15.26,1.5,15.38,1.3
922,Northern Ireland,8.6,2.4,8.8,2.2,9.2,2.8,9.7,2.6,9.9,2.2,9.7,2.1,10.05,2.2,10.70,2.6,10.36,2.3,10.47,2.1,10.67,2.2,10.95,1.8,10.82,2.0,11.34,1.8,11.33,1.8,11.55,1.9,12.02,1.6,12.38,1.2,12.30,1.4,13.23,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,10.2,0.3,10.5,0.3,10.8,0.3,11.1,0.3,11.4,0.3,11.7,0.3,12.25,0.3,12.62,0.3,12.63,0.3,12.64,0.3,12.73,0.2,13.05,0.3,13.01,0.3,13.19,0.3,13.57,0.3,13.91,0.3,14.21,0.3,14.80,0.3,14.98,0.3,15.45,0.3
926,United Kingdom,10.1,0.2,10.4,0.2,10.7,0.2,10.9,0.2,11.3,0.2,11.6,0.2,12.08,0.3,12.49,0.2,12.47,0.2,12.50,0.2,12.60,0.2,12.96,0.2,12.93,0.2,13.12,0.3,13.45,0.2,13.80,0.2,14.08,0.2,14.68,0.3,14.84,0.3,15.33,0.2
