Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,#,#,#,#,#,#,#,#,#,#,#,#,#,#,767.6,18.0,#,#,"1,006.9",19.0,#,#,#,#,#,#,#,#,"1,034",20,#,#,"1,032",19,#,#,#,-,#,#
D,Yorkshire and The Humber,360.0,0.8,375.5,1.0,391.5,1.1,400.0,0.9,412.5,1.1,425.6,1.0,444.3,1.0,452.6,0.9,462.5,0.9,461.7,0.9,465.2,1.0,479.1,1.0,479.0,0.9,480.6,0.9,498.3,0.9,502.3,0.8,520.4,0.9,540.8,0.9,539.7,1.0,568.5,0.8
E,East Midlands,369.6,1.0,385.7,1.1,391.6,1.2,412.2,1.2,423.1,1.0,430.0,1.1,450.2,1.1,460.2,1.0,469.8,1.0,468.2,1.0,476.5,1.0,483.0,0.9,483.7,0.9,491.0,0.9,501.5,1.1,516.7,1.1,529.9,1.0,547.5,1.0,562.5,1.1,573.4,0.8
F,West Midlands,366.0,0.9,378.9,0.9,392.9,1.0,404.7,1.0,416.2,1.1,431.1,1.0,449.8,1.0,456.8,0.8,469.2,0.9,465.2,1.0,469.3,1.0,483.0,0.8,481.2,0.7,492.1,0.7,507.6,1.0,517.1,1.0,535.5,1.0,550.8,0.9,551.7,1.1,581.8,0.9
G,East,415.9,1.1,431.7,1.0,447.6,1.0,456.7,1.0,466.0,0.9,479.9,1.0,499.0,1.0,509.5,0.9,523.3,0.9,525.0,0.8,531.4,0.9,543.5,0.9,539.1,0.9,550.6,0.9,569.5,0.9,574.9,0.7,589.4,0.9,610.2,0.7,607.6,1.1,628.6,1.1
H,London,479.9,0.7,496.3,0.7,509.8,0.8,526.7,0.8,537.6,0.6,555.9,0.8,581.5,0.7,598.2,0.6,606.4,0.6,608.8,0.6,613.3,0.6,613.3,0.6,617.1,0.7,620.8,0.7,631.8,0.7,654.1,0.7,670.8,0.6,699.3,0.7,714.3,1.0,728.4,0.9
J,South East,435.1,0.7,451.0,0.8,461.8,0.7,468.9,0.7,486.5,0.8,502.3,0.8,524.8,0.7,536.6,0.6,547.8,0.7,554.6,0.8,555.8,0.7,557.6,0.7,567.2,0.7,574.9,0.6,581.8,0.7,595.9,0.6,614.9,0.7,636.3,0.7,629.0,0.8,660.1,0.8
K,South West,367.1,1.1,383.9,1.0,396.9,1.0,406.0,1.1,420.5,1.0,432.6,1.1,451.9,1.1,460.0,1.0,468.3,0.9,471.5,0.9,477.4,0.9,485.1,0.8,495.8,0.9,498.3,0.9,513.4,0.9,527.0,0.9,537.6,0.9,560.9,0.9,558.9,1.2,577.3,0.8
924,Wales,353.5,1.5,368.5,1.6,382.9,1.5,393.4,1.4,404.2,1.5,414.8,1.6,424.8,1.5,444.6,1.3,456.2,1.4,455.1,1.2,454.9,1.3,475.3,1.2,480.0,1.3,487.6,1.3,499.2,1.2,505.7,1.2,518.5,1.2,540.0,1.4,547.4,1.3,570.6,1.1
923,Scotland,369.3,1.0,381.8,1.0,390.6,1.1,409.8,1.1,427.9,0.9,440.9,1.1,462.9,1.1,471.2,0.9,486.6,0.8,487.2,0.8,498.3,0.8,507.9,1.0,518.6,0.9,527.0,0.9,536.0,0.8,547.4,0.8,562.7,0.8,578.3,0.7,595.0,1.0,622.0,1.0
922,Northern Ireland,342.0,1.9,352.0,1.9,372.6,2.0,385.2,1.8,402.5,1.8,400.5,1.6,417.6,1.7,436.6,1.9,437.6,2.0,445.1,1.7,458.4,1.8,464.4,1.5,460.0,1.6,484.4,1.5,493.7,1.5,500.0,1.5,518.3,1.5,534.7,1.4,528.6,1.6,575.0,1.4
