Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,!,!,!,!,#,-,#,-,!,!,7.06,-,#,-,#,-,#,-,!,!,!,!,#,-,!,!,!,!,#,-,#,-,#,#,#,-
D,Yorkshire and The Humber,5.4,1.0,5.8,1.0,6.0,1.0,6.4,1.1,6.6,1.1,7.0,1.2,7.00,1.2,7.41,1.1,7.56,1.3,7.57,1.0,7.65,0.9,7.94,1.1,7.99,0.9,8.17,1.0,8.50,1.2,8.70,0.9,9.00,0.8,9.57,0.9,9.96,0.5,10.20,1.1
E,East Midlands,5.4,1.5,5.8,1.4,6.1,1.5,6.3,1.2,6.7,1.4,7.0,1.3,7.12,1.5,7.50,1.4,7.49,1.2,7.65,1.3,7.75,1.3,7.88,1.1,8.00,0.9,8.06,0.9,8.52,1.1,8.80,1.1,8.99,0.9,9.55,0.9,10.07,1.0,10.18,1.0
F,West Midlands,5.5,1.4,5.9,1.2,6.1,1.2,6.5,1.3,6.7,1.3,7.0,1.5,7.25,1.5,7.64,1.2,7.82,1.2,7.75,1.3,7.82,1.1,8.00,1.0,8.18,1.0,8.17,1.0,8.54,1.0,8.78,1.0,9.09,0.8,9.56,0.8,10.03,1.0,10.17,1.0
G,East,5.8,1.6,6.2,1.3,6.4,1.2,6.8,1.5,7.1,1.1,7.4,1.4,7.58,1.3,7.98,1.3,8.05,1.1,8.11,1.1,8.05,0.9,8.34,1.2,8.40,1.0,8.49,0.8,8.83,0.9,9.12,0.8,9.39,1.0,10.00,0.6,10.52,1.3,10.71,1.1
H,London,6.8,1.8,7.4,1.9,7.5,1.7,8.0,1.4,8.3,1.6,8.4,1.8,8.50,1.5,8.93,1.6,9.00,1.4,8.94,1.4,8.98,1.3,9.03,1.3,9.06,1.2,9.22,1.0,9.75,1.2,9.97,0.7,10.13,0.6,10.60,0.6,11.01,1.3,11.52,1.4
J,South East,6.3,1.4,6.8,1.3,7.0,1.2,7.3,1.1,7.5,1.1,7.8,1.3,7.89,0.9,8.23,1.1,8.50,0.9,8.53,1.0,8.60,0.9,8.83,0.8,8.93,0.7,9.06,0.9,9.42,0.9,9.57,0.9,9.79,0.8,10.30,0.8,10.86,1.0,11.32,1.1
K,South West,5.8,1.4,6.1,1.3,6.4,1.3,6.8,1.4,7.2,1.3,7.4,1.5,7.63,1.5,7.93,1.2,8.12,1.1,8.00,1.2,8.15,1.2,8.36,1.3,8.34,1.0,8.57,1.0,9.05,0.8,9.19,0.8,9.47,0.9,10.00,0.6,10.56,1.2,10.81,0.9
924,Wales,5.5,1.7,5.9,1.9,6.2,2.3,6.5,1.9,6.7,1.6,6.9,2.0,7.21,1.9,7.50,1.7,7.50,1.7,7.50,1.6,7.61,1.5,7.88,1.6,8.02,1.4,8.12,1.1,8.59,1.4,8.82,1.2,8.99,1.1,9.51,1.0,10.03,1.1,10.25,1.3
923,Scotland,5.8,1.3,6.1,1.1,6.3,1.3,6.7,1.4,7.0,1.4,7.2,1.5,7.69,1.4,8.04,1.1,8.07,1.1,8.21,1.2,8.20,1.2,8.50,1.3,8.70,1.2,8.70,1.1,9.17,1.0,9.34,1.0,9.67,0.9,10.15,0.7,10.89,1.6,10.94,1.0
922,Northern Ireland,5.5,2.0,5.9,2.0,6.3,2.9,7.1,2.9,7.1,2.8,7.3,2.7,7.84,3.2,8.00,1.9,8.00,2.0,7.70,1.7,7.70,1.8,8.00,1.9,8.00,1.6,8.06,1.5,8.24,1.4,8.63,1.6,8.82,1.2,9.55,0.8,9.81,1.0,10.08,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,5.8,0.4,6.2,0.4,6.4,0.4,6.8,0.4,7.0,0.3,7.3,0.4,7.50,0.3,7.84,0.4,8.00,0.2,8.00,0.2,8.04,0.3,8.25,0.3,8.33,0.3,8.47,0.3,8.92,0.3,9.10,0.3,9.34,0.3,9.94,0.2,10.38,0.3,10.66,0.3
926,United Kingdom,5.7,0.3,6.1,0.3,6.3,0.3,6.7,0.3,7.0,0.2,7.3,0.3,7.50,0.2,7.84,0.3,7.98,0.2,7.99,0.2,8.02,0.2,8.26,0.3,8.34,0.3,8.47,0.2,8.90,0.3,9.09,0.3,9.33,0.2,9.94,0.2,10.38,0.3,10.64,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
