Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,-,#,-,#,-,#,-,648.6,12.0,#,-,#,-,#,-,#,-,661.6,-,#,#,#,-,#,-,691.9,-,#,-,#,-,#,-
00BE,Southwark,343.4,8.6,371.6,7.6,356.0,8.2,376.9,6.6,430.3,5.8,437.8,6.5,432.0,6.0,461.8,6.5,478.0,6.2,478.5,6.2,482.3,6.9,476.0,6.8,482.3,7.1,517.1,6.6,489.5,4.9,550.1,4.8,554.5,4.3,570.8,4.5,533.1,7.3,574.9,5.1
00BF,Sutton,332.8,6.2,337.0,6.5,328.2,9.2,345.0,8.3,373.5,6.6,410.3,7.4,366.4,9.4,375.6,8.3,401.9,8.3,391.2,8.7,419.1,7.7,424.2,7.2,419.1,7.4,383.3,7.8,413.6,6.9,426.8,8.0,463.8,8.5,467.9,7.2,469.4,12.0,494.9,7.6
00BG,Tower Hamlets,364.4,12.0,374.3,8.4,413.3,11.0,450.8,7.1,398.0,9.9,421.6,9.7,429.7,10.0,506.3,7.9,506.3,8.5,496.2,7.9,517.6,6.0,494.2,7.1,484.4,6.4,479.1,6.4,517.5,5.0,536.6,5.7,578.1,5.3,630.0,5.4,613.8,6.6,642.2,5.8
00BH,Waltham Forest,358.8,8.1,345.8,12.0,374.8,8.9,353.8,9.7,382.3,8.1,353.8,11.0,396.0,8.7,383.3,9.1,382.6,8.7,378.7,8.1,382.4,8.3,363.5,7.2,384.8,6.7,381.2,5.0,391.7,6.9,424.5,6.1,440.0,6.0,493.1,7.3,476.1,9.8,575.4,6.3
00BJ,Wandsworth,464.5,6.3,460.5,3.9,466.8,4.8,485.8,4.5,489.7,5.1,512.1,5.2,568.6,4.5,553.3,4.3,574.9,4.4,599.4,4.9,575.6,4.7,579.9,5.1,606.5,4.5,615.4,5.5,606.6,4.5,627.6,4.1,667.2,3.5,695.7,4.0,713.8,6.2,675.9,5.9
00BK,Westminster,441.5,5.6,429.3,6.3,459.9,7.8,459.8,8.3,534.5,7.2,574.9,6.8,596.2,7.3,546.7,8.2,573.4,7.9,566.8,6.8,596.9,7.5,584.5,7.4,603.4,8.1,553.7,8.6,595.9,8.2,608.3,8.4,672.7,7.3,612.9,7.9,673.5,13.0,769.1,11.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,209.4,2.5,223.8,2.5,234.8,2.4,244.5,2.3,253.8,2.0,263.5,2.1,273.5,2.3,287.7,1.9,293.3,1.7,296.0,2.3,296.0,2.1,297.1,2.2,304.1,2.0,313.6,2.1,329.8,1.9,336.4,1.5,341.1,1.3,355.4,1.6,371.0,2.1,385.5,1.8
B,North West,224.6,1.5,237.3,1.4,249.5,1.3,260.7,1.2,268.3,1.3,280.8,1.3,291.3,1.2,298.0,1.2,306.6,1.1,302.7,1.1,310.1,1.0,317.4,1.0,322.0,1.1,332.2,1.1,340.0,1.1,346.2,1.0,354.9,1.1,378.3,1.1,384.5,1.4,402.6,1.0
D,Yorkshire and The Humber,210.9,1.7,222.3,1.6,231.7,1.9,237.6,1.5,251.8,1.3,262.3,1.4,273.5,1.6,286.3,1.3,291.2,1.3,285.6,1.4,292.3,1.3,296.5,1.5,299.0,1.4,306.6,1.3,315.2,1.3,325.8,1.2,335.4,1.4,354.6,1.3,367.4,1.4,383.6,1.2
