Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,City of London,!,!,!,!,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-,#,#,#,#,#,#,#,#,#,-,#,-,#,#
00BE,Southwark,442.0,8.9,487.5,6.5,470.0,8.1,486.4,6.0,496.9,7.5,535.6,6.7,574.9,7.3,598.3,7.6,581.7,7.2,620.7,6.3,590.9,5.8,575.5,6.6,556.7,6.0,576.3,7.0,612.0,5.5,623.4,5.8,629.2,5.5,680.2,6.1,717.4,7.5,704.3,8.9
00BF,Sutton,512.2,5.5,520.4,6.0,503.7,6.8,512.4,6.0,549.5,5.6,553.7,7.2,590.6,6.3,592.7,5.8,589.3,6.5,589.0,6.2,613.3,5.9,600.3,5.0,596.3,5.5,625.4,4.8,653.2,6.0,632.9,6.4,653.9,6.5,650.8,6.3,574.9,7.5,632.4,8.3
00BG,Tower Hamlets,459.7,6.0,499.1,6.0,515.7,6.9,504.0,5.8,504.7,6.2,581.1,6.0,626.8,6.0,606.3,6.7,579.9,7.1,574.7,5.5,602.8,6.2,613.3,5.0,654.7,5.0,618.6,6.2,616.5,7.4,661.8,7.3,674.3,6.5,753.1,5.4,761.3,8.8,766.6,9.2
00BH,Waltham Forest,442.9,4.6,461.8,4.9,464.6,4.6,474.3,5.8,478.3,5.9,517.0,5.6,517.7,6.3,519.9,4.9,511.7,3.9,518.0,4.9,516.2,5.0,514.7,4.8,522.8,4.1,532.3,4.5,566.0,4.8,572.2,5.6,602.4,5.8,650.5,5.6,680.1,7.6,684.0,5.9
00BJ,Wandsworth,567.9,8.3,597.9,5.5,599.6,5.6,616.4,5.6,620.6,5.9,650.9,6.4,718.9,6.1,751.5,5.5,701.9,4.5,695.8,5.5,676.0,4.9,698.9,5.7,727.0,6.0,705.8,5.4,762.3,7.5,766.8,5.9,766.5,8.7,772.3,8.4,766.6,9.5,824.5,9.5
00BK,Westminster,545.9,12.0,598.5,8.6,703.3,13.0,707.9,12.0,675.9,11.0,689.9,8.2,766.6,9.8,823.4,8.9,907.1,12.0,827.6,9.4,850.7,7.8,723.0,10.0,760.1,8.1,764.0,9.5,729.1,7.6,842.4,7.1,820.3,8.8,825.6,8.8,722.7,12.0,770.6,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,364.8,2.0,370.9,2.1,383.9,2.1,398.4,1.8,403.8,1.9,413.3,1.9,430.8,2.1,440.7,1.8,443.6,1.7,442.5,1.7,454.4,1.5,465.7,1.6,475.0,1.7,480.0,1.7,491.1,1.7,501.7,1.7,512.2,1.7,528.3,1.9,511.0,2.0,536.2,1.8
B,North West,393.1,1.0,405.1,1.0,415.7,1.2,417.6,1.1,431.2,1.1,442.5,1.0,460.0,1.1,460.0,1.0,463.9,1.1,447.2,1.2,460.0,1.3,476.6,1.1,474.1,1.1,480.0,1.1,494.9,1.1,498.5,1.1,518.6,1.1,545.6,1.2,534.6,1.5,564.2,1.1
D,Yorkshire and The Humber,378.9,1.1,394.0,1.2,408.7,1.3,412.6,1.3,425.0,1.2,437.5,1.3,455.1,1.4,457.5,1.1,466.3,1.2,462.6,1.2,464.5,1.3,478.7,1.3,476.5,1.3,479.1,1.2,496.0,1.2,498.3,1.1,514.9,1.0,538.4,1.1,524.5,1.3,567.8,1.0
E,East Midlands,393.4,1.2,404.3,1.2,417.9,1.5,425.0,1.2,440.0,1.3,447.4,1.4,464.1,1.5,469.5,1.2,476.2,1.3,470.3,1.1,479.1,1.4,487.5,1.1,485.5,1.2,495.9,1.3,506.9,1.4,517.5,1.3,527.0,1.1,548.5,1.2,555.8,1.7,572.4,1.2
F,West Midlands,390.3,1.1,400.0,1.1,412.6,1.2,417.8,1.2,431.2,1.3,440.8,1.3,460.6,1.2,460.4,1.0,472.7,0.9,464.7,1.2,463.8,1.2,483.0,1.1,477.9,1.1,490.1,1.0,507.6,1.1,516.4,1.2,529.9,1.3,543.0,1.1,536.6,1.4,574.9,1.1
G,East,441.5,1.2,457.1,1.3,470.4,1.1,475.6,1.1,484.6,1.3,496.6,1.2,515.8,1.5,526.8,1.3,535.6,1.2,531.0,1.1,531.8,1.3,546.3,1.2,536.6,1.2,546.0,1.0,570.4,1.1,574.9,1.0,586.5,1.1,607.7,1.0,587.8,1.4,620.4,1.4
H,London,483.1,1.0,504.0,1.1,513.9,1.3,528.5,1.0,535.3,1.0,555.8,1.2,581.3,1.0,586.6,1.1,586.5,1.1,587.2,1.1,589.2,1.0,589.2,1.1,584.5,1.0,594.2,1.1,606.7,1.0,632.2,1.1,643.7,1.0,670.8,1.1,670.8,1.5,692.5,1.1
J,South East,465.5,0.9,483.4,0.8,492.4,0.8,490.0,1.0,507.8,0.9,527.1,1.0,548.1,1.1,551.1,0.8,563.7,0.9,568.4,0.8,565.4,0.9,563.9,1.1,573.0,0.8,574.9,0.7,582.3,0.8,594.1,0.8,612.1,0.8,634.1,0.9,611.2,1.2,650.6,1.1
K,South West,391.2,1.3,405.2,1.4,414.6,1.4,420.9,1.3,436.9,1.2,444.8,1.3,468.5,1.3,472.2,1.1,472.3,1.1,472.2,1.2,472.3,1.1,479.2,1.0,487.7,1.1,491.9,1.2,507.9,1.2,524.8,1.2,527.8,1.1,549.0,1.1,535.1,1.4,567.0,1.1
924,Wales,370.3,1.9,383.9,1.8,399.2,1.9,402.4,1.9,420.9,1.8,422.6,2.1,438.0,2.0,450.6,1.4,455.3,1.6,450.9,1.7,448.3,1.6,472.4,1.7,477.8,1.8,474.7,1.8,490.3,1.6,490.1,1.6,499.1,1.8,525.1,1.7,526.5,2.1,551.2,1.7
923,Scotland,391.0,1.2,399.5,1.3,403.5,1.4,415.9,1.4,432.9,1.2,450.6,1.3,467.5,1.4,471.1,1.2,481.6,1.2,479.8,1.2,490.0,1.1,501.4,1.1,507.3,1.2,519.6,1.2,527.0,1.2,535.6,1.2,546.2,1.1,569.9,1.1,574.9,1.3,593.2,1.4
922,Northern Ireland,348.4,2.7,357.4,2.7,371.9,2.7,384.8,2.3,390.8,1.9,394.2,1.9,404.3,2.1,416.3,2.5,410.8,2.1,413.9,2.2,418.4,2.2,431.2,2.1,424.5,1.9,446.4,2.2,453.0,2.0,464.2,2.1,478.6,2.1,496.8,2.0,477.8,1.9,529.3,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,413.4,0.2,428.0,0.3,441.3,0.3,445.9,0.3,459.9,0.2,471.0,0.3,489.9,0.3,497.1,0.2,502.6,0.2,498.3,0.2,501.9,0.3,512.5,0.3,511.2,0.3,520.0,0.3,535.9,0.2,545.3,0.3,558.3,0.3,577.0,0.2,573.4,0.3,597.9,0.3
926,United Kingdom,409.1,0.3,422.3,0.2,434.9,0.2,439.8,0.2,453.6,0.2,464.7,0.3,484.5,0.2,491.0,0.2,496.5,0.2,493.0,0.3,498.1,0.2,507.8,0.3,507.4,0.2,517.5,0.2,530.4,0.3,540.6,0.3,554.6,0.2,574.9,0.1,568.4,0.3,594.1,0.2
